HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,109235,6579,23296,1,4294880878,0,-0.0009964897765,1.000475736,0.05729578018,0,0,-12.878174,-4.363931,-14.434541,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109236,6579,23296,1,4294880878,-0.0009964897765,-0.002491224441,0.9959915316,0,0.05729578018,0,-13.091793,-4.547033,-14.220922,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109237,6579,23296,1,4294880878,0.001992979553,-0.00298946933,0.9999774907,0,0,0,-12.481453,-4.852203,-14.34299,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109238,6579,23296,1,4294880878,-0.0004982448883,-0.00298946933,0.9979845112,0,0.05729578018,0,-12.328868,-4.516516,-14.770228,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109239,6579,23296,1,4294880878,-0.002491224441,-0.002491224441,0.9999774907,0,0.05729578018,0,-12.359385,-4.608067,-14.007303,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109240,6579,23296,1,4294880878,-0.0009964897765,-0.002491224441,0.9984827561,0,0.05729578018,0,-12.328868,-4.547033,-14.007303,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109241,6579,23296,1,4294880878,-0.0004982448883,-0.0009964897765,0.9999774907,0,0.05729578018,0,-12.450936,-4.455482,-14.739711,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109242,6579,23296,1,4294880878,0,-0.00298946933,0.998981001,0,0,0,-12.786623,-4.089278,-14.64816,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109243,6579,23296,1,4294880878,0,-0.002491224441,1.000475736,0,0,0,-12.786623,-4.638584,-14.678677,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,109244,6579,23296,1,4294880878,-0.0004982448883,-0.00298946933,0.9994792459,0,0,0,-13.305412,-4.791169,-14.526092,12,131072,0,0.01,-0.14,359.81,0.9999,-0.0012,0.0001,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
