HI81,pc_counter,gps_wn,gps_tow,ins_status,utc,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temperature,pressure,od_vel,roll,pitch,yaw,quat_w,quat_x,quat_y,quat_z,solq_pos,solq_heading,nv,nv_heading,diff_age,pdop,hdop,undulation,ins_lat,ins_lon,ins_msl,ins_vel_e,ins_vel_n,ins_vel_u,acc_e,acc_n,acc_u,heave,surge,sway,heave_period,gnss_ant_status
HI81,608395,6579,23296,1,4294880878,-0.01345261198,0.0084701631,1.000973981,0,-0.05729578018,0,-18.951057,-17.669343,-7.263046,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608396,6579,23296,1,4294880878,-0.01494734665,0.007971918212,0.9959915316,-0.05729578018,0.1718873405,0,-19.103642,-17.974513,-7.446148,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608397,6579,23296,1,4294880878,-0.01295436709,0.008968407989,1.00197047,0,0,0,-18.859506,-17.791411,-7.32408,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608398,6579,23296,1,4294880878,-0.01395085687,0.0084701631,0.9964897765,0.05729578018,0,0,-18.859506,-17.882962,-7.385114,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608399,6579,23296,1,4294880878,-0.01444910176,0.0084701631,1.000475736,0,0.05729578018,0,-19.317261,-17.791411,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608400,6579,23296,1,4294880878,-0.01395085687,0.0084701631,0.9984827561,0,-0.05729578018,0,-19.22571,-17.69986,-7.32408,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608401,6579,23296,1,4294880878,-0.01544559154,0.008968407989,0.9994792459,0,0.1145915604,0,-18.828989,-18.035547,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608402,6579,23296,1,4294880878,-0.01345261198,0.007971918212,0.9994792459,0,-0.05729578018,0,-18.737438,-18.096581,-7.446148,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608403,6579,23296,1,4294880878,-0.01494734665,0.0084701631,0.9969880214,0,0.2291831207,0,-18.737438,-17.39469,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608404,6579,23296,1,4294880878,-0.01195787732,0.009466652877,1.003465205,0,0,0,-18.676404,-17.455724,-7.598733,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608405,6579,23296,1,4294880878,-0.01594383642,0.007473673324,0.9949950419,0,0.05729578018,0,-18.554336,-17.486241,-7.32408,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608406,6579,23296,1,4294880878,-0.01395085687,0.0084701631,1.00396345,0.05729578018,0,0,-19.408812,-17.577792,-7.720801,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608407,6579,23296,1,4294880878,-0.01494734665,0.009466652877,0.9964897765,0.05729578018,0,0,-19.347778,-17.943996,-7.202012,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608408,6579,23296,1,4294880878,-0.01644208131,0.008968407989,1.000973981,0,0.05729578018,0,-19.103642,-18.035547,-6.988393,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608409,6579,23296,1,4294880878,-0.01245612221,0.007971918212,1.000475736,0,-0.1145915604,0,-18.859506,-17.821928,-7.140978,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI81,608410,6579,23296,1,4294880878,-0.01544559154,0.009466652877,0.9969880214,-0.05729578018,0.2291831207,0,-18.340717,-17.943996,-7.507182,14,131072,0,0.81,0.49,0.06,0.9999,0.0042,0.0071,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
