$GNIMU,514270,0.015,0.643,0.737,0.14,-0.05,-0.01,0.00
$GNIMU,514280,0.016,0.645,0.738,0.02,-0.06,-0.06,0.00
$GNIMU,514290,0.015,0.644,0.740,0.03,-0.05,-0.01,0.00
$GNIMU,514300,0.014,0.646,0.738,0.03,-0.06,-0.02,0.00
$GNIMU,514310,0.015,0.644,0.738,0.09,-0.04,-0.07,0.00
$GNIMU,514320,0.016,0.646,0.737,0.05,-0.03,-0.10,0.00
$GNPVT,514330,1,31,39.9056575,116.4573569,126.022,0.025,0.034,-0.045,2.96,2.74,10.53,0.05,0.04,0.05
$GNIMU,514330,0.015,0.643,0.739,0.11,-0.10,-0.10,0.00
$GNIMU,514340,0.015,0.644,0.739,0.08,-0.10,-0.01,0.00
$GNIMU,514350,0.016,0.645,0.738,0.05,-0.09,-0.02,0.00
$GNIMU,514360,0.016,0.644,0.740,0.05,-0.08,-0.02,0.00
$GNIMU,514370,0.015,0.645,0.737,-0.03,-0.11,-0.04,0.00
$GNIMU,514380,0.014,0.644,0.737,0.02,-0.16,-0.02,0.00
$GNIMU,514390,0.015,0.645,0.740,0.01,-0.15,0.02,0.00
$GNIMU,514400,0.016,0.643,0.740,-0.07,-0.05,-0.04,0.00
$GNIMU,514410,0.016,0.645,0.740,0.06,-0.10,-0.02,0.00
$GNPVT,514420,1,33,39.9056575,116.4573569,126.019,0.022,0.035,-0.042,2.96,2.73,10.53,0.06,0.05,0.06
$GNIMU,514420,0.015,0.645,0.740,0.08,-0.16,-0.04,0.00
$GNIMU,514430,0.015,0.646,0.738,0.06,-0.10,-0.07,0.00
$GNIMU,514440,0.016,0.645,0.740,-0.01,-0.06,-0.02,0.00
$GNIMU,514450,0.015,0.645,0.740,0.13,-0.14,-0.08,0.00
$GNIMU,514460,0.016,0.644,0.737,0.21,-0.02,-0.05,0.00
$GNIMU,514470,0.014,0.642,0.736,0.11,-0.02,-0.02,0.00
$GNIMU,514480,0.016,0.646,0.737,0.08,-0.07,-0.02,0.00
$GNIMU,514490,0.013,0.646,0.739,0.05,-0.06,-0.06,0.00
$GNIMU,514500,0.015,0.645,0.740,0.08,-0.04,-0.02,0.00
$GNIMU,514510,0.015,0.643,0.740,-0.05,-0.12,-0.02,0.00
$GNPVT,514520,1,34,39.9056574,116.4573569,126.007,0.015,0.025,-0.043,2.96,2.73,10.52,0.05,0.05,0.06
