Time,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,MagCalibratedX, MagCalibratedY, MagCalibratedZ
15-12-14.408,2483,268,-15,163,-47,-240
15-12-14.416,2409,292,-37,166,-57,-239
15-12-14.424,2422,322,-89,166,-67,-236
15-12-14.436,2343,281,-127,168,-76,-230
15-12-14.445,2034,301,-268,171,-85,-228
15-12-14.457,1728,262,-304,173,-93,-221
15-12-14.465,1493,271,-362,174,-98,-220
15-12-14.476,1315,312,-431,176,-103,-216
15-12-14.486,1044,409,-478,178,-107,-212
15-12-14.496,623,483,-492,182,-110,-208
15-12-14.505,227,486,-497,184,-111,-206
15-12-14.516,-96,445,-469,187,-111,-204
15-12-14.526,-490,379,-426,189,-108,-204
15-12-14.536,-937,269,-393,192,-105,-204
15-12-14.546,-1185,138,-371,193,-102,-205
15-12-14.556,-1291,34,-354,193,-96,-207
15-12-14.565,-1488,-63,-303,194,-90,-211
15-12-14.576,-1883,-143,-227,193,-85,-212
15-12-14.586,-2308,-165,-184,195,-77,-215
15-12-14.595,-2737,-181,-121,194,-69,-223
15-12-14.606,-2915,-193,-116,191,-58,-227
15-12-14.616,-2846,-226,-159,190,-46,-230
15-12-14.626,-2720,-256,-219,189,-36,-230
15-12-14.636,-2814,-305,-214,186,-25,-236
15-12-14.645,-2878,-364,-199,185,-13,-238
15-12-14.656,-2897,-417,-232,182,-1,-241
15-12-14.666,-3052,-445,-274,179,10,-242
15-12-14.676,-3051,-469,-315,177,22,-243
15-12-14.684,-2794,-492,-345,176,35,-242
15-12-14.695,-2651,-478,-310,172,47,-240
15-12-14.706,-2330,-406,-292,169,58,-239
15-12-14.716,-1984,-347,-234,167,68,-236
15-12-14.726,-1738,-356,-150,164,76,-233
15-12-14.736,-1614,-395,-60,162,83,-233
15-12-14.746,-1498,-453,11,160,89,-232
15-12-14.755,-1558,-503,66,158,95,-230
15-12-14.766,-2076,-580,177,154,100,-229
15-12-14.775,-2294,-591,183,153,108,-225
15-12-14.786,-2319,-566,159,151,115,-221
15-12-14.796,-2014,-538,57,148,124,-219
15-12-14.806,-1691,-554,-30,146,131,-215
15-12-14.816,-1423,-664,-92,144,136,-212
15-12-14.826,-1160,-821,-163,140,141,-212
15-12-14.836,-829,-981,-215,135,144,-210
15-12-14.845,-555,-1142,-237,131,148,-210
15-12-14.856,-193,-1296,-287,126,150,-209
15-12-14.865,61,-1549,-326,118,151,-210
15-12-14.876,322,-1824,-392,111,151,-216
15-12-14.886,524,-2035,-462,102,149,-219
15-12-14.895,734,-2185,-537,92,147,-224
15-12-14.906,1052,-2267,-599,82,145,-231
15-12-14.915,1457,-2327,-646,70,140,-234
15-12-14.927,1948,-2293,-688,58,134,-236
15-12-14.937,2177,-2225,-675,58,134,-236
15-12-14.946,2191,-2113,-672,46,125,-247
15-12-14.955,2133,-2013,-684,34,116,-253
15-12-14.966,1996,-1893,-719,25,108,-258
15-12-14.976,1566,-1804,-763,14,97,-263
15-12-14.986,1255,-1689,-812,5,89,-268
15-12-14.996,1351,-1549,-841,-4,82,-271
15-12-15.006,1494,-1396,-879,-14,76,-271
15-12-15.016,1725,-1227,-921,-22,69,-271
15-12-15.026,1959,-1064,-964,-27,59,-274
15-12-15.036,2143,-929,-965,-34,49,-272
15-12-15.045,2500,-813,-981,-39,38,-272
15-12-15.056,2598,-744,-945,-43,27,-274
15-12-15.066,2435,-676,-922,-47,13,-274
15-12-15.076,2279,-571,-899,-50,0,-273
15-12-15.086,2103,-444,-865,-52,-10,-274
15-12-15.096,2046,-285,-865,-54,-21,-272
15-12-15.106,2067,-105,-874,-55,-33,-268
15-12-15.116,2088,88,-910,-54,-44,-268
15-12-15.126,2164,272,-992,-53,-54,-266
15-12-15.136,2247,454,-1117,-50,-65,-265
15-12-15.146,2072,591,-1207,-45,-76,-265
15-12-15.158,1883,728,-1288,-41,-87,-261
15-12-15.166,1776,841,-1363,-32,-96,-258
15-12-15.178,1757,957,-1463,-28,-106,-256
15-12-15.186,1699,1067,-1581,-18,-114,-256
15-12-15.196,1522,1137,-1625,-10,-122,-253
15-12-15.206,1405,1156,-1560,-1,-129,-250
15-12-15.216,1215,1233,-1509,9,-136,-247
15-12-15.226,1095,1352,-1451,17,-141,-243
15-12-15.236,1003,1507,-1446,29,-145,-242
15-12-15.246,900,1658,-1452,40,-149,-240
15-12-15.256,630,1800,-1426,52,-152,-239
15-12-15.266,366,1934,-1421,64,-152,-236
15-12-15.276,227,2013,-1351,77,-152,-234
15-12-15.286,86,2102,-1318,89,-151,-231
15-12-15.296,-212,2227,-1280,101,-150,-228
15-12-15.306,-478,2372,-1265,116,-146,-225
15-12-15.316,-912,2558,-1204,129,-141,-225
15-12-15.326,-1245,2733,-1117,144,-134,-223
15-12-15.336,-1570,2831,-1011,155,-127,-219
15-12-15.346,-1721,2867,-884,168,-118,-221
15-12-15.356,-1670,2817,-744,180,-108,-213
15-12-15.366,-1671,2781,-533,192,-101,-210
15-12-15.377,-1790,2730,-301,203,-93,-202
15-12-15.387,-1792,2661,-14,213,-85,-195
15-12-15.397,-1766,2572,155,220,-79,-191
15-12-15.407,-1904,2427,425,227,-74,-182
15-12-15.415,-1937,2311,614,232,-69,-176
15-12-15.427,-1795,2156,710,237,-65,-169
15-12-15.434,-2219,1986,952,242,-62,-163
15-12-15.446,-2518,1820,1075,244,-60,-154
15-12-15.455,-2382,1577,1111,247,-58,-150
15-12-15.466,-2108,1284,1100,250,-55,-150
15-12-15.475,-1804,965,1036,251,-54,-146
15-12-15.487,-1801,731,998,252,-54,-143
15-12-15.497,-1828,575,853,251,-53,-142
15-12-15.507,-1780,479,669,251,-52,-143
15-12-15.516,-1684,348,513,252,-49,-141
15-12-15.526,-1845,246,510,251,-47,-143
15-12-15.536,-1812,126,474,250,-45,-142
15-12-15.545,-1700,8,403,252,-41,-144
15-12-15.556,-2026,-132,382,248,-39,-145
15-12-15.566,-2248,-295,342,248,-39,-145
15-12-15.576,-2181,-421,231,247,-34,-149
15-12-15.586,-2352,-484,165,247,-30,-152
15-12-15.597,-1673,-620,-80,243,-25,-159
15-12-15.607,-931,-619,-368,242,-21,-159
15-12-15.617,-865,-577,-603,241,-16,-163
