Time,ID,AccRaw, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,GyoCalibratedX, GyoCalibratedY, GyoCalibratedZ,Pitch, Roll, Yaw,Q(w), Q(x), Q(y), Q(z),Pressure
2018/3/12 23:10:29 939,0,30,-5,988,24,-31,27,11,0,1,-1.72,-0.29,4.9,0.9989551,-0.00194123,-0.01516176,0.04307199,0
2018/3/12 23:10:29 958,0,31,-4,989,12,-28,21,0,3,-4,-1.73,-0.29,4.9,0.9989545,-0.001945823,-0.0152056,0.04306692,0
2018/3/12 23:10:29 981,0,31,-4,989,8,-31,19,-4,0,-6,-1.73,-0.29,4.9,0.9989541,-0.001937179,-0.01526897,0.0430546,0
2018/3/12 23:10:30 0,0,29,-4,991,10,-34,27,-2,-3,1,-1.73,-0.29,4.9,0.9989548,-0.001932817,-0.01523569,0.04305331,0
2018/3/12 23:10:35 475,0,1,-2,-1011,29,-32,29,12,-4,3,-0.21,-179.86,11.3,-0.001381244,0.9950897,0.09895203,0.001736248,0
2018/3/12 23:10:35 477,0,2,-2,-1012,24,-31,24,6,-3,-2,-0.2,-179.85,11.3,-0.001408994,0.9950898,0.09895233,0.001675599,0
2018/3/12 23:10:35 487,0,2,-2,-1012,22,-28,20,5,-1,-5,-0.2,-179.85,11.3,-0.001428704,0.9950889,0.09896124,0.001645179,0
2018/3/12 23:10:35 499,0,4,-2,-1012,19,-35,22,2,-8,-4,-0.2,-179.85,11.3,-0.001452925,0.995088,0.09896959,0.001678694,0
2018/3/12 23:10:35 519,0,4,-2,-1012,18,-39,29,0,-12,3,-0.21,-179.85,11.3,-0.001468402,0.995088,0.09896799,0.001701716,0
2018/3/12 23:10:35 538,0,4,-2,-1012,23,-38,28,6,-10,2,-0.21,-179.84,11.3,-0.001490275,0.9950886,0.09896179,0.001721087,0
2018/3/12 23:10:35 558,0,4,-2,-1012,22,-30,23,4,-3,-2,-0.21,-179.84,11.3,-0.001512298,0.9950881,0.0989655,0.001751612,0
2018/3/12 23:10:35 579,0,4,-2,-1012,19,-30,29,2,-3,3,-0.22,-179.84,11.3,-0.001528094,0.9950884,0.09896327,0.001782854,0
2018/3/12 23:10:35 599,0,2,-2,-1012,22,-35,33,5,-8,7,-0.21,-179.84,11.3,-0.001539554,0.9950895,0.09895166,0.001736106,0
2018/3/12 23:10:35 618,0,4,-3,-1010,22,-35,32,4,-8,6,-0.21,-179.83,11.3,-0.001579331,0.9950905,0.09894075,0.001728416,0
2018/3/12 23:10:35 640,0,4,-3,-1010,20,-30,29,3,-3,3,-0.21,-179.83,11.3,-0.001636182,0.9950911,0.09893315,0.001764847,0
2018/3/12 23:10:35 658,0,4,-2,-1012,29,-30,25,12,-3,0,-0.22,-179.83,11.3,-0.001656275,0.9950911,0.09893359,0.001795062,0
2018/3/12 23:10:35 681,0,4,-2,-1012,32,-32,33,15,-4,7,-0.22,-179.82,11.3,-0.001683325,0.9950918,0.09892544,0.001817271,0
2018/3/12 23:10:35 699,0,2,-1,-1012,23,-26,37,6,0,10,-0.22,-179.83,11.3,-0.001656961,0.9950937,0.09890662,0.00178152,0
2018/3/12 23:10:35 717,0,3,-2,-1013,18,-24,29,0,3,3,-0.22,-179.83,11.3,-0.001641094,0.9950948,0.09889705,0.001770795,0
2018/3/12 23:10:35 739,0,3,-2,-1013,19,-24,18,1,3,-8,-0.22,-179.83,11.3,-0.001642766,0.9950938,0.09890667,0.001776518,0
