Time,ID,AccRawX, AccRawY, AccRawZ,GyoRawX, GyoRawY, GyoRawZ,MagRawX, MagRawY, MagRawZ,Pitch, Roll, Yaw,Test8F[0], Test8F[1], Test8F[2], Test8F[3], Test8F[4], Test8F[5], Test8F[6], Test8F[7]
16-11-42.059,7,877,393,102,-11,-119,-10,-342,-28,-378,66,-108.52,178.4,0,0,-50.59927,0.02618325,1,0,40.16021,0.01600952
16-11-42.081,7,887,392,113,-12,-88,13,-343,-30,-377,66.06,-108.07,178.8,0,0,-50.89735,0.03499881,1,0,40.24541,0.0160123
16-11-42.101,7,909,374,150,-107,-81,81,-345,-25,-377,66.21,-107.9,179.1,0,0,-50.50864,0.03128651,1,0,40.58018,0.01601508
16-11-42.121,7,908,364,149,-139,-17,121,-343,-27,-379,66.46,-108.18,179.1,0,0,-50.97441,0.04266494,1,0,40.277,0.01601786
16-11-42.139,7,888,378,111,-39,-18,47,-339,-30,-375,66.64,-108.45,179.1,0,0,-51.30066,0.02187091,1,0,39.79677,0.01602064
16-11-42.159,7,877,384,89,56,-56,-42,-343,-25,-374,66.65,-108.21,179.3,0,0,-50.65599,0.04503952,1,0,40.36354,0.01602342
16-11-42.180,7,875,375,111,-24,-179,-22,-343,-27,-377,66.63,-107.75,179.7,0,0,-51.04112,0.01733772,1,0,40.26071,0.0160262
16-11-42.199,7,875,362,111,58,16,-10,-340,-20,-377,66.62,-107.3,-179.7,0,0,-50.05925,0.02606253,1,0,39.71461,0.01602898
16-11-42.220,7,880,373,104,28,-1,-22,-342,-25,-375,66.6,-107.25,-179.7,0,0,-50.59494,0.01192653,1,0,40.16892,0.01603176
16-11-42.239,7,890,378,102,33,87,28,-338,-27,-375,66.6,-107.45,179.9,0,0,-50.80512,0.01390325,1,0,39.92818,0.01603453
16-11-42.259,7,890,388,95,26,10,-1,-342,-26,-373,66.57,-107.61,179.6,0,0,-50.69695,0.01430911,1,0,40.3352,0.01603731
16-11-42.279,7,893,383,103,0,-32,-9,-337,-25,-377,66.57,-107.55,179.7,0,0,-50.51363,0.009408437,1,0,39.97429,0.01604009
16-11-42.300,7,903,361,127,-86,-23,15,-335,-20,-379,66.59,-107.4,179.9,0,0,-50.00048,0.02081316,1,0,39.79609,0.01604287
16-11-42.320,7,915,346,146,-143,32,74,-337,-27,-374,66.7,-108.06,179.6,0,0,-50.92449,0.04069448,1,0,40.31253,0.01604565
16-11-42.340,7,914,363,133,-166,-54,47,-339,-22,-376,66.83,-108.33,179.6,0,0,-50.51726,0.02119178,1,0,39.77258,0.01604843
16-11-42.359,7,902,376,99,76,-95,-33,-339,-20,-372,66.89,-107.95,-179.9,0,0,-50.10456,0.02423048,1,0,39.74683,0.01605121
16-11-42.380,7,893,367,99,33,-63,-32,-341,-24,-373,66.87,-107.46,-179.4,0,0,-50.6641,0.03107829,1,0,40.09691,0.01605399
16-11-42.402,7,892,356,107,33,3,15,-341,-16,-376,66.86,-107.26,-179.3,0,0,-49.7945,0.01571455,1,0,39.7696,0.01605677
